City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
117,Torbay,47.6666,-52.7314,30.76,51,88,11.99,overcast clouds,CA,2021-12-04 20:12:47
118,Atar,20.5169,-13.0499,76.37,15,2,8.25,clear sky,MR,2021-12-04 20:14:52
119,Vardo,70.3705,31.1107,21.45,74,9,19.98,clear sky,NO,2021-12-04 20:11:04
120,Farafangana,-22.8167,47.8333,76.89,88,17,11.61,few clouds,MG,2021-12-04 20:14:53
121,Okhotsk,59.3833,143.3,-23.21,90,51,12.46,broken clouds,RU,2021-12-04 20:14:53
122,Vao,-22.6667,167.4833,76.42,84,66,16.91,broken clouds,NC,2021-12-04 20:06:13
123,Potosi,-19.5836,-65.7531,54.07,60,99,9.57,overcast clouds,BO,2021-12-04 20:14:53
124,Ambo,-10.1308,-76.2047,72.43,61,100,7.87,light rain,PE,2021-12-04 20:14:54
125,Yar-Sale,66.8333,70.8333,-22.09,98,23,5.14,few clouds,RU,2021-12-04 20:09:50
126,Carnduff,49.1667,-101.8009,30.38,57,100,5.66,overcast clouds,CA,2021-12-04 20:14:54
127,Geraldton,-28.7667,114.6,63.01,77,0,8.05,clear sky,AU,2021-12-04 20:14:54
128,Jamestown,42.097,-79.2353,43.3,57,40,14.0,scattered clouds,US,2021-12-04 20:10:11
129,Port Alfred,-33.5906,26.891,67.95,95,100,21.79,light rain,ZA,2021-12-04 20:14:54
130,Bambous Virieux,-20.3428,57.7575,78.22,83,40,8.05,light rain,MU,2021-12-04 20:14:55
131,Ilanskiy,56.2358,96.065,21.07,85,95,16.64,overcast clouds,RU,2021-12-04 20:14:55
132,Mar Del Plata,-38.0023,-57.5575,57.87,77,12,13.0,few clouds,AR,2021-12-04 20:10:27
133,Grand Gaube,-20.0064,57.6608,78.39,71,45,5.01,scattered clouds,MU,2021-12-04 20:08:40
134,Shelburne,44.0787,-80.2041,34.29,70,62,17.29,broken clouds,CA,2021-12-04 20:14:55
135,Turayf,31.6725,38.6637,55.24,44,100,13.85,overcast clouds,SA,2021-12-04 20:09:53
136,Ust-Nera,64.5667,143.2,-42.0,99,78,4.03,broken clouds,RU,2021-12-04 20:14:56
137,Hasaki,35.7333,140.8333,37.8,58,2,19.98,clear sky,JP,2021-12-04 20:05:02
138,Ciamis,-7.3257,108.3534,73.81,95,100,0.85,overcast clouds,ID,2021-12-04 20:14:56
139,Avarua,-21.2078,-159.775,78.85,83,40,4.61,scattered clouds,CK,2021-12-04 20:15:56
140,Hambantota,6.1241,81.1185,77.88,85,89,3.74,overcast clouds,LK,2021-12-04 20:06:13
141,Yei,4.095,30.6779,73.22,69,57,0.74,broken clouds,SS,2021-12-04 20:15:57
142,Revelganj,25.7833,84.6667,60.71,51,63,6.06,broken clouds,IN,2021-12-04 20:15:57
143,Sambava,-14.2667,50.1667,77.94,81,86,9.17,overcast clouds,MG,2021-12-04 20:15:58
144,Giyon,8.5333,37.9833,56.07,58,0,10.6,clear sky,ET,2021-12-04 20:15:58
145,Husavik,66.0449,-17.3389,12.11,80,29,12.71,scattered clouds,IS,2021-12-04 20:15:58
146,Madimba,-10.4,40.3333,78.96,82,74,8.79,broken clouds,TZ,2021-12-04 20:15:59
147,Upernavik,72.7868,-56.1549,16.75,76,100,7.7,overcast clouds,GL,2021-12-04 20:11:29
148,Samarai,-10.6167,150.6667,81.03,78,100,5.88,overcast clouds,PG,2021-12-04 20:16:00
